List,Value,Text
1.1,1,Updated
1.1,3,Reporting period
1.1,4,Other
1.2,1,Delta refresh
1.2,2,Full refresh
1.2,3,Other
1.3,5,Physical disability
1.3,6,Developmental disability
1.3,7,Chronic health condition
1.3,10,Substance use disorder
1.3,8,HIV/AIDS
1.3,9,Mental health disorder
1.4,141,PATH service
1.4,142,RHY service connections
1.4,143,HOPWA financial assistance
1.4,144,SSVF service
1.4,151,PATH referral
1.4,152,SSVF financial assistance
1.4,161,PATH referral
1.4,200,Bed night
1.4,210,HUD-VASH OTH voucher tracking
1.4,300,Moving On assistance provided
1.5,1,Unhashed
1.5,2,SHA-1 (no longer used for federal purposes)
1.5,3,Hashed – other
1.5,4,SHA-256 (RHY)
1.6,8,Client doesn’t know
1.6,9,Client prefers not to answer
1.6,99,Data not collected
1.7,0,No
1.7,1,Yes
1.7,99,Data not collected
1.8,0,No
1.8,1,Yes
1.8,8,Client doesn’t know
1.8,9,Client prefers not to answer
1.8,99,Data not collected
1.9,1,CoC HMIS
1.9,2,Standalone/agency-specific application
1.9,3,Data warehouse
1.9,4,Other
1.10,0,No
1.10,1,Yes
2.02.6,0,Emergency Shelter – Entry Exit
2.02.6,1,Emergency Shelter – Night-by-Night
2.02.6,10,PH – Housing with Services (no disability required for entry)
2.02.6,11,Day Shelter
2.02.6,12,Homelessness Prevention
2.02.6,13,PH – Rapid Re-Housing
2.02.6,14,Coordinated Entry
2.02.6,2,Transitional Housing
2.02.6,3,PH – Permanent Supportive Housing
2.02.6,4,Street Outreach
2.02.6,6,Services Only
2.02.6,7,Other
2.02.6,8,Safe Haven
2.02.6,9,PH – Housing Only
2.02.7,1,DV: Survivor of Domestic Violence
2.02.7,3,HIV: Persons with HIV/AIDS
2.02.7,4,NA: Not applicable
2.02.8,0,No
2.02.8,1,Yes
2.02.8,2,Non-HOPWA Funded Project
2.02.A,1,RRH: Services Only
2.02.A,2,RRH: Housing with or without services
2.02.D,1,Site-based – single site
2.02.D,2,Site-based – clustered / multiple sites
2.02.D,3,Tenant-based – scattered site
2.03.4,1,Urban
2.03.4,2,Suburban
2.03.4,3,Rural
2.03.4,99,Unknown / data not collected
2.06.1,1,HUD: CoC – Homelessness Prevention (High Performing Comm. Only)
2.06.1,2,HUD: CoC – Permanent Supportive Housing
2.06.1,3,HUD: CoC – Rapid Re-Housing
2.06.1,10,HUD: ESG – Rapid Rehousing
2.06.1,11,HUD: ESG – Street Outreach
2.06.1,13,HUD: HOPWA – Hotel/Motel Vouchers
2.06.1,14,HUD: HOPWA – Housing Information
2.06.1,15,HUD: HOPWA – Permanent Housing (facility based or TBRA)
2.06.1,16,HUD: HOPWA – Permanent Housing Placement
2.06.1,17,"HUD: HOPWA – Short-Term Rent, Mortgage, Utility assistance"
2.06.1,18,HUD: HOPWA – Short-Term Supportive Facility
2.06.1,19,HUD: HOPWA – Transitional Housing (facility based or TBRA)
2.06.1,20,HUD: HUD/VASH
2.06.1,21,HHS: PATH – Street Outreach & Supportive Services Only
2.06.1,22,HHS: RHY – Basic Center Program (prevention and shelter)
2.06.1,23,HHS: RHY – Maternity Group Home for Pregnant and Parenting Youth
2.06.1,24,HHS: RHY – Transitional Living Program
2.06.1,25,HHS: RHY – Street Outreach Project
2.06.1,26,HHS: RHY – Demonstration Project
2.06.1,27,VA: CRS Contract Residential Services
2.06.1,30,VA: Community Contract Safe Haven Program
2.06.1,33,VA: Supportive Services for Veteran Families
2.06.1,34,N/A
2.06.1,35,HUD: Pay for Success
2.06.1,36,HUD: Public and Indian Housing (PIH) Programs
2.06.1,37,VA: Grant Per Diem – Bridge Housing
2.06.1,38,VA: Grant Per Diem – Low Demand
2.06.1,39,VA: Grant Per Diem – Hospital to Housing
2.06.1,4,HUD: CoC – Supportive Services Only
2.06.1,40,VA: Grant Per Diem – Clinical Treatment
2.06.1,41,VA: Grant Per Diem – Service Intensive Transitional Housing
2.06.1,42,VA: Grant Per Diem – Transition in Place
2.06.1,43,HUD: CoC – Youth Homeless Demonstration Program (YHDP)
2.06.1,44,HUD: CoC – Joint Component TH/RRH
2.06.1,45,VA: Grant Per Diem – Case Management/Housing Retention
2.06.1,46,Local or Other Funding Source (Please Specify)
2.06.1,47,HUD: ESG – CV
2.06.1,48,HUD: HOPWA – CV
2.06.1,5,HUD: CoC – Transitional Housing
2.06.1,50,HUD: HOME
2.06.1,51,HUD: HOME (ARP)
2.06.1,52,HUD: PIH (Emergency Housing Voucher)
2.06.1,53,HUD: ESG – RUSH
2.06.1,54,HUD: Unsheltered Special NOFO
2.06.1,55,HUD: Rural Special NOFO
2.06.1,6,HUD: CoC – Safe Haven
2.06.1,7,HUD: CoC – Single Room Occupancy (SRO)
